,Date,Manner of Death,Armed,Age,Gender,Race,City,State,Signs of Mental Illness,Threat Level,Flee,Body Camera,Longitude,Latitude,Is Geocoding Exact
73,2015-01-30,Shot,Gun,48.0,Male,"White, non-Hispanic",Billings,Montana,False,Attack,Foot,False,-108.51299999999999,45.79,True
74,2015-01-31,Shot,Gun,31.0,Male,Hispanic,Houston,Texas,False,Attack,Not fleeing,False,-95.72,29.861,True
75,2015-01-31,Shot and Tasered,Knife,54.0,Male,"Black, non-Hispanic",Randallstown,Maryland,True,Other,Not fleeing,False,-76.821,39.38,True
76,2015-02-02,Shot,Unarmed,59.0,Male,"White, non-Hispanic",Hummelstown,Pennsylvania,False,Other,Foot,False,-76.71300000000001,40.273,True
77,2015-02-02,Shot,Gun,42.0,Male,"White, non-Hispanic",Apple Valley,California,True,Attack,Not fleeing,False,-117.177,34.417,True
78,2015-02-02,Shot,Gun,17.0,Male,"White, non-Hispanic",Bay City,Michigan,False,Attack,Not fleeing,False,-83.87299999999999,43.599,True
79,2015-02-03,Shot,Gun,23.0,Male,"Black, non-Hispanic",St. Louis,Missouri,False,Attack,Foot,False,-90.21,38.75,True
80,2015-02-03,Shot,Gun,38.0,Female,"Black, non-Hispanic",Emeryville,California,False,Attack,Car,False,-122.28399999999999,37.827,True
81,2015-02-03,Shot,Knife,29.0,Male,"Black, non-Hispanic",Antioch,California,True,Other,Not fleeing,False,-121.818,37.999,True
82,2015-02-03,Shot,Gun,45.0,Male,"White, non-Hispanic",Douglas,Georgia,True,Attack,Not fleeing,False,-82.845,31.523000000000003,True
83,2015-02-04,Shot,Unarmed,28.0,Male,"Black, non-Hispanic",Tallahassee,Florida,False,Attack,Not fleeing,False,-84.33,30.465999999999998,True
84,2015-02-04,Shot,Gun,37.0,Male,Hispanic,Orlando,Florida,False,Attack,Not fleeing,False,-81.306,28.5,True
85,2015-02-04,Shot,Gun,28.0,Male,Hispanic,Tempe,Arizona,False,Attack,Car,False,-111.978,33.378,True
86,2015-02-04,Shot,Unarmed,28.0,Male,Hispanic,Tempe,Arizona,False,Other,Not fleeing,False,-111.978,33.378,True
87,2015-02-04,Shot,Gun,51.0,Male,"Black, non-Hispanic",Lorena,Texas,False,Attack,Car,False,-97.208,31.397,True
88,2015-02-04,Shot,Knife,36.0,Male,"Black, non-Hispanic",Memphis,Tennessee,False,Other,Not fleeing,False,-89.932,35.164,True
89,2015-02-05,Shot,Gun,59.0,Male,"White, non-Hispanic",Chino,California,False,Other,Car,False,-117.65,33.953,True
90,2015-02-06,Shot,Gun,25.0,Male,"Black, non-Hispanic",Oklahoma City,Oklahoma,False,Attack,Not fleeing,False,-97.515,35.404,True
91,2015-02-07,Shot,Toy Weapon,26.0,Male,"White, non-Hispanic",Calimesa,California,False,Attack,Not fleeing,False,-117.057,33.994,True
92,2015-02-07,Shot,Gun,74.0,Male,"Black, non-Hispanic",Gastonia,North Carolina,False,Attack,Not fleeing,False,-81.227,35.266,True
93,2015-02-08,Shot,Gun,33.0,Male,"White, non-Hispanic",Anchorage,Alaska,False,Attack,Car,False,-149.859,61.208,True
94,2015-02-08,Shot,Gun,27.0,Male,"White, non-Hispanic",Austin,Texas,False,Attack,Not fleeing,False,-97.891,30.244,True
95,2015-02-08,Shot,Gun,57.0,Male,"White, non-Hispanic",New City,New York,True,Attack,Not fleeing,False,-74.001,41.152,True
96,2015-02-08,Shot,Gun,46.0,Male,"White, non-Hispanic",Orange County,Florida,False,Attack,Not fleeing,False,-81.329,28.482,True
97,2015-02-08,Shot,Gun,41.0,Male,"White, non-Hispanic",Nocona,Texas,False,Attack,Not fleeing,False,-97.712,33.787,True
98,2015-02-09,Shot,Gun,61.0,Male,"White, non-Hispanic",Smyrna,Maine,True,,Not fleeing,False,-68.104,46.159,True
99,2015-02-09,Shot,Gun,45.0,Male,"Black, non-Hispanic",Dallas,Texas,False,Attack,Not fleeing,False,-96.751,32.655,True
100,2015-02-10,Shot,Gun,49.0,Male,"Black, non-Hispanic",Whitehaven,Tennessee,False,Attack,Not fleeing,False,-90.054,35.025,True
101,2015-02-10,Shot,Gun,45.0,Male,"White, non-Hispanic",New Castle,Colorado,True,Attack,Car,False,-107.454,39.573,True
102,2015-02-10,Shot and Tasered,Unarmed,35.0,Male,Hispanic,Pasco,Washington,True,Other,Foot,False,-119.101,46.228,True
103,2015-02-11,Shot,Knife,23.0,Male,"Black, non-Hispanic",San Jose,California,True,Other,Not fleeing,False,-121.876,37.316,True
104,2015-02-11,Shot,Toy Weapon,46.0,Male,"White, non-Hispanic",Dadeville,Alabama,True,Attack,Foot,True,-85.72399999999999,32.864000000000004,True
105,2015-02-13,Shot,,23.0,Male,"White, non-Hispanic",San Bernardino,California,False,Attack,Car,False,-117.333,34.165,True
106,2015-02-13,Shot,Gun,21.0,Male,Hispanic,Kansas City,Kansas,False,Attack,Car,False,-94.64,39.071,True
107,2015-02-13,Shot,Unarmed,35.0,Male,Hispanic,Reading,Pennsylvania,False,Other,Not fleeing,False,-75.908,40.329,True
108,2015-02-13,Shot,Gun,27.0,Male,"White, non-Hispanic",McLemoresville,Tennessee,False,Attack,Not fleeing,False,-88.572,35.95,True
109,2015-02-13,Shot,Knife,37.0,Male,Hispanic,San Manuel,Arizona,True,Other,Not fleeing,False,-110.62799999999999,32.614000000000004,True
110,2015-02-14,Shot,Gun,16.0,Male,"White, non-Hispanic",Essex,Maryland,True,Attack,Car,False,-76.44,39.299,True
111,2015-02-14,Shot,Gun,51.0,Male,"White, non-Hispanic",Laredo,Texas,False,Attack,Not fleeing,False,-99.47399999999999,27.554000000000002,True
112,2015-02-15,Shot,Gun,34.0,Male,"White, non-Hispanic",Iuka,Mississippi,False,Attack,Foot,False,-88.205,34.804,True
